Date;Series;Value
1997;Spirits;2.751
1998;Spirits;2.741
1999;Spirits;2.911
2000;Spirits;2.925
2001;Spirits;2.925
2002;Spirits;2.922
2003;Spirits;3.157
2004;Spirits;3.079
2005;Spirits;3.230
2006;Spirits;3.169
2007;Spirits;3.346
2008;Spirits;3.505
2009;Spirits;3.526
2010;Spirits;3.739
2011;Spirits;4.405
2012;Spirits;4.728
2013;Spirits;5.246
2014;Spirits;5.015
2015;Spirits;5.237
2016;Spirits;5.263
2017;Spirits;5.694
2018;Spirits;6.225
2019;Spirits;6.230
2020;Spirits;7.683
2021;Spirits;7.646
2022;Spirits;7.070
2023;Spirits;7.003
1997;Wines, cider and perry;3.986
1998;Wines, cider and perry;4.207
1999;Wines, cider and perry;4.541
2000;Wines, cider and perry;4.832
2001;Wines, cider and perry;5.037
2002;Wines, cider and perry;5.366
2003;Wines, cider and perry;5.684
2004;Wines, cider and perry;5.877
2005;Wines, cider and perry;6.013
2006;Wines, cider and perry;5.947
2007;Wines, cider and perry;6.416
2008;Wines, cider and perry;6.541
2009;Wines, cider and perry;6.720
2010;Wines, cider and perry;7.047
2011;Wines, cider and perry;7.441
2012;Wines, cider and perry;7.865
2013;Wines, cider and perry;8.573
2014;Wines, cider and perry;8.231
2015;Wines, cider and perry;8.380
2016;Wines, cider and perry;8.442
2017;Wines, cider and perry;9.069
2018;Wines, cider and perry;9.422
2019;Wines, cider and perry;9.445
2020;Wines, cider and perry;11.721
2021;Wines, cider and perry;11.593
2022;Wines, cider and perry;11.129
2023;Wines, cider and perry;11.808
1997;Beer;2.978
1998;Beer;3.263
1999;Beer;3.103
2000;Beer;3.167
2001;Beer;3.149
2002;Beer;3.264
2003;Beer;3.668
2004;Beer;3.452
2005;Beer;3.310
2006;Beer;3.597
2007;Beer;3.536
2008;Beer;3.501
2009;Beer;4.061
2010;Beer;3.733
2011;Beer;4.021
2012;Beer;4.093
2013;Beer;4.718
2014;Beer;4.598
2015;Beer;4.615
2016;Beer;4.564
2017;Beer;5.153
2018;Beer;5.739
2019;Beer;5.708
2020;Beer;7.393
2021;Beer;7.466
2022;Beer;6.181
2023;Beer;6.338
1997;Tobacco;2.978
1998;Tobacco;3.263
1999;Tobacco;3.103
2000;Tobacco;3.167
2001;Tobacco;3.149
2002;Tobacco;3.264
2003;Tobacco;3.668
2004;Tobacco;3.452
2005;Tobacco;3.310
2006;Tobacco;3.597
2007;Tobacco;3.536
2008;Tobacco;3.501
2009;Tobacco;4.061
2010;Tobacco;3.733
2011;Tobacco;4.021
2012;Tobacco;4.093
2013;Tobacco;4.718
2014;Tobacco;4.598
2015;Tobacco;4.615
2016;Tobacco;4.564
2017;Tobacco;5.153
2018;Tobacco;5.739
2019;Tobacco;5.708
2020;Tobacco;7.393
2021;Tobacco;7.466
2022;Tobacco;6.181
2023;Tobacco;6.338